cuteSV	2110	1132	4064	2129	3923	1240	4025	769	3728	362	1474	116	560	35	8304	307	951	152	1595	196	2115	139	2560	101	2768	49	1138	17	447	4	7404	100
DeBreak	2110	1095	4064	2205	3923	1330	4025	820	3728	392	1474	94	560	28	8304	307	1124	254	1738	375	2289	328	2735	212	2867	128	1172	20	472	4	7777	254
Delly	2110	1087	4064	1913	3923	1161	4025	767	3728	431	1474	134	560	32	8304	335	1310	433	2007	459	2613	554	2926	399	2927	193	1178	34	475	13	7378	85
longcallD	2110	491	4064	319	3923	179	4025	157	3728	146	1474	49	560	6	8304	211	1593	92	3548	80	3662	48	3802	42	3612	43	1450	11	567	7	8242	54
pbsv	2110	1169	4064	1980	3923	998	4025	583	3728	314	1474	119	560	49	8304	396	1062	289	1884	405	2419	272	2841	177	2957	91	1201	15	455	3	7398	156
sawfish	2110	640	4064	488	3923	281	4025	202	3728	153	1474	58	560	8	8304	170	1337	223	2452	78	2957	75	3313	66	3346	75	1350	22	506	5	7544	58
Severus	2110	1329	4064	2521	3923	1726	4025	1374	3728	942	1474	344	560	129	8304	1113	903	165	1669	315	2281	326	2696	216	2806	107	1124	27	424	5	7270	118
Sniffles	2110	830	4064	1450	3923	713	4025	512	3728	315	1474	128	560	52	8304	248	1352	213	2353	281	2661	133	2919	93	2896	40	1150	7	457	5	7434	100
SVDSS	2110	563	4064	497	3923	369	4025	311	3728	264	1474	132	560	56	8304	310	1579	175	3278	142	3387	108	3550	93	3412	63	1326	14	508	8	7912	67
SVIM	2110	808	4064	1240	3923	578	4025	428	3728	261	1474	79	560	15	8304	286	1376	207	2838	391	2979	200	3117	128	2987	47	1204	10	491	5	7446	108
